,uid,anime_uid,score
842,50497,1571,10
843,198005,1571,7
844,20524,1571,9
845,214620,1571,9
846,35296,1571,8
847,217503,1571,8
848,22606,1571,8
849,195975,1571,10
850,126877,202,10
851,221311,202,4
852,318284,202,9
853,324889,202,8
854,241289,202,7
855,103783,202,8
856,206909,202,8
857,187605,202,7
858,229576,202,7
859,98419,202,9
860,96243,202,8
861,112685,202,10
862,42535,202,8
863,18350,202,8
864,32742,202,10
865,32758,202,10
866,17172,202,10
867,76505,202,9
868,147451,269,6
869,9734,269,9
870,290043,269,3
871,194048,269,3
872,76707,269,8
873,1155,269,7
874,104759,269,5
875,59407,269,1
876,2756,269,9
877,6132,269,9
878,1922,269,10
879,188860,269,3
880,132141,269,3
881,8040,269,9
882,313858,269,10
883,30719,269,3
884,2052,269,9
885,19734,269,5
886,243083,1571,9
887,271499,1571,9
888,272592,1571,7
889,106553,1571,8
890,222182,1571,9
891,205611,1571,9
892,205661,1571,7
893,219582,1571,8
894,221331,1571,7
895,81090,1571,9
896,15731,1571,8
897,17105,1571,10
898,9909,1571,10
899,29713,1571,10
900,61935,1571,10
901,79182,1571,4
902,17880,1571,9
903,261563,202,9
904,23433,202,10
905,189623,202,8
906,311142,202,7
907,13339,202,10
908,197629,202,10
909,10676,202,10
910,32331,202,9
911,321734,202,10
912,285621,202,10
913,5283,202,9
914,176071,202,10
915,29686,202,9
916,292021,202,1
917,1049,202,10
918,2672,202,8
919,8723,202,10
920,193767,202,7
921,211568,202,1
922,30597,269,5
923,4008,269,10
924,2581,269,6
925,2231,269,10
926,1565,269,7
927,28816,269,3
928,3910,269,8
929,750,269,10
930,6935,269,6
931,6511,269,10
932,9562,269,5
933,19948,269,6
934,44433,269,3
935,4377,269,9
936,34866,269,5
937,440,269,8
938,78535,1571,10
939,214336,1571,5
940,85183,1571,9
941,304345,1571,8
942,56875,1571,10
943,18371,1571,8
944,5527,1571,5
945,194092,1571,7
946,322957,1571,9
947,164633,1571,10
948,188584,1571,9
949,164079,1571,8
950,298277,1571,6
951,71011,1571,8
952,58905,1571,9
953,26025,1571,10
954,16610,1571,10
955,253557,18397,9
956,159733,18397,7
957,140779,18397,4
958,123363,18397,5
959,131041,18397,8
960,186795,18397,4
961,156263,18397,7
962,123509,18397,7
963,123389,18397,10
964,130109,18397,10
965,131033,18397,10
966,123469,18397,8
967,98325,5005,9
968,268798,5005,7
969,147215,5005,8
970,19674,5005,7
971,19647,5005,9
972,38676,5005,9
973,228726,202,4
974,169765,202,9
975,38591,202,9
976,79384,202,10
977,27411,202,6
978,190900,202,10
979,261174,202,3
980,180811,202,6
981,94275,202,9
982,28896,202,7
983,122439,202,10
984,25902,202,9
985,1212,202,10
986,30041,202,2
987,1377,202,8
988,117155,202,6
989,15743,202,8
990,114203,202,4
991,6137,202,9
992,16094,202,10
993,239065,32998,7
994,316388,32998,3
995,230880,32998,8
996,233091,32998,8
997,230785,32998,8
998,230743,32998,9
999,230816,32998,7
1000,230807,32998,8
1001,230730,32998,8
1002,230758,32998,9
1003,230797,32998,8
1004,230655,32998,8
1005,245165,32998,7
1006,230657,32998,7
1007,231258,32998,5
1008,313577,32998,8
1009,230653,32998,9
1010,230775,32998,7
1011,230650,32998,8
1012,230686,32998,7
1013,19850,269,4
1014,184387,269,5
1015,6621,269,7
1016,231670,269,5
1017,1708,269,8
1018,3324,269,3
1019,36102,269,6
1020,509,269,9
1021,964,269,6
1022,26106,269,5
1023,1485,269,5
1024,13651,269,3
1025,181806,269,4
1026,34861,269,5
1027,5916,269,1
1028,269557,269,10
1029,186712,269,6
