,anime_id,genre
344,6045,"slice of life, drama, romance, school, shoujo"
345,2004,"slice of life, comedy, supernatural, drama, seinen"
346,6421,"military, adventure, drama, magic, fantasy, shounen"
347,31173,"drama, romance, fantasy, shoujo"
348,14813,"slice of life, comedy, drama, romance, school"
349,32615,"action, military, magic"
350,16049,"action, sci-fi, super power"
351,35790,"action, adventure, drama, fantasy"
352,2150,"adventure, comedy, fantasy, kids, slice of life"
353,535,"adventure, comedy, demons, magic, fantasy"
354,6171,"action, adventure, martial arts, shounen, super power, supernatural"
355,30015,"slice of life, romance, school"
356,31174,"comedy, parody"
357,20507,"action, adventure, comedy, supernatural, shounen"
358,851,"comedy, shounen"
359,12031,"action, historical, military, seinen"
360,153,"action, adventure, fantasy, magic, supernatural"
361,9963,"adventure, comedy, mystery, police, shounen"
362,889,"action, seinen"
363,21469,"comedy, kids, sci-fi, shounen"
364,12477,"adventure, sci-fi"
365,14713,"comedy, demons, supernatural, romance, fantasy, shoujo"
366,16,"comedy, drama, josei, romance, slice of life"
367,589,"action, adventure, drama, shounen"
368,7465,"sci-fi, slice of life"
369,1363,"adventure, mystery, comedy, police, shounen"
370,4901,"action, seinen"
371,781,"adventure, mystery, comedy, police, shounen"
372,6211,drama
373,39231,"action, sci-fi"
374,1486,"comedy, drama, romance, shoujo"
375,3783,"action, mystery, supernatural, drama, thriller"
376,72,"action, comedy, school"
377,223,"adventure, comedy, fantasy, martial arts, shounen, super power"
378,2164,"adventure, comedy, drama, mystery, sci-fi"
379,1482,"action, adventure, comedy, super power, demons, shounen"
380,1471,"action, comedy, mystery, shounen"
381,27663,"sports, romance, school, shounen"
382,4918,"mystery, comedy, psychological, supernatural, drama"
383,5365,drama
384,29831,"comedy, drama, slice of life"
385,1914,"adventure, comedy, drama, fantasy, historical, romance"
386,302,"adventure, drama, sci-fi"
387,2034,"comedy, romance, shoujo"
388,237,"adventure, drama, mecha, romance, sci-fi"
389,34626,"magic, adventure, fantasy, comedy, supernatural"
390,33206,"slice of life, comedy, fantasy"
391,36371,"action, drama, military, sci-fi, space"
392,3167,"sci-fi, slice of life"
393,2759,"action, mecha, sci-fi"
394,25013,"action, adventure, comedy, fantasy, romance, shoujo"
395,11123,"comedy, drama, romance, shounen ai"
396,15059,"action, cars, sports, drama, seinen"
397,1974,"drama, shoujo"
398,25313,"action, sci-fi, comedy, historical, parody, samurai, shounen"
399,16918,"comedy, school, shounen, slice of life"
400,32005,"action, mystery, police, shounen"
401,30370,"action, comedy, fantasy, shoujo"
402,33161,"comedy, romance, school"
403,37430,"fantasy, shounen"
404,1257,"adventure, sci-fi, shounen"
405,23755,"action, adventure, ecchi, fantasy, magic, shounen, supernatural"
406,26117,"kids, psychological, sci-fi"
407,3927,"action, drama, mecha, military, sci-fi, space"
408,2449,"action, sci-fi, mystery, police, psychological, mecha, seinen"
409,33323,"comedy, demons, supernatural, romance, fantasy, shoujo"
410,7791,"comedy, music, school, slice of life"
411,12189,"mystery, school, slice of life"
412,7054,"comedy, romance, school, shoujo"
413,135,"comedy, game, shounen, supernatural"
414,17739,"slice of life, comedy, school, seinen"
415,1364,"adventure, police, comedy, mystery, shounen"
416,34440,"action, mecha, military, school, sci-fi, super power"
417,34437,"action, military, sci-fi, super power, drama, mecha"
418,24277,"comedy, drama, shounen, sports"
419,5681,"sci-fi, comedy"
420,9130,"action, adventure, martial arts, shounen, super power, supernatural"
421,721,"comedy, drama, fantasy, magic, mystery, romance"
422,15323,"action, adventure, comedy, drama, fantasy, shounen, super power"
423,14513,"action, adventure, fantasy, magic, shounen"
424,37514,"adventure, drama, fantasy, mystery, sci-fi"
425,18679,"action, comedy, super power, ecchi, school"
426,16706,"harem, comedy, supernatural, romance, shounen"
427,31051,"action, sports, school, shounen"
428,3701,"adventure, mystery, romance, sci-fi"
429,731,"adventure, drama, music, sci-fi"
430,186,"action, cars, sports, drama, seinen"
431,12069,"comedy, drama, shounen, sports"
432,8425,"mystery, historical, drama, romance"
433,37989,"action, adventure, historical, seinen"
434,27833,"action, mystery, supernatural"
435,6467,"action, mystery, police, shounen"
436,1506,"adventure, comedy, mystery, police, shounen"
437,2167,"comedy, drama, romance, school, slice of life, supernatural"
438,2402,"action, drama, shounen, slice of life, sports"
439,23283,"mystery, psychological, thriller"
440,1382,"adventure, drama, mecha, sci-fi, shounen"
441,28025,"mystery, comedy, supernatural, ecchi"
442,1430,"action, adventure, mystery, comedy, seinen"
443,31658,"sports, school, shounen"
444,1566,"military, sci-fi, mystery, police, mecha, seinen"
445,239,"drama, mystery, sci-fi, supernatural, thriller"
446,27821,"action, fantasy, magic, supernatural"
447,18689,"comedy, school, shounen, sports"
448,21419,"action, mystery, police, shounen"
449,2025,"action, sci-fi, mystery, super power"
450,1367,"adventure, mystery, comedy, police, shounen"
451,38003,"action, mystery, seinen, super power, supernatural"
452,4107,"action, comedy, mecha"
453,4938,"action, adventure, mystery, supernatural, drama, magic, romance, fantasy, shounen"
454,35838,"adventure, mystery, sci-fi, slice of life"
455,1559,"action, comedy, martial arts, school, shounen"
456,38234,"action, adventure, comedy, super power, drama, fantasy, shounen"
457,440,"comedy, drama, fantasy, mystery, psychological, shoujo"
458,21557,"mystery, psychological, drama"
459,34577,"action, adventure, fantasy, magic, shounen, supernatural"
460,16067,"drama, fantasy, romance"
461,35062,"slice of life, magic, fantasy, shounen"
462,8129,"slice of life, comedy, josei"
463,30831,"adventure, comedy, fantasy, magic, parody, supernatural"
464,16662,"drama, historical, romance"
465,28071,"comedy, ecchi"
466,18,"action, cars, sports, drama, seinen"
467,38422,"comedy, game, romance, school, seinen"
468,9735,"action, comedy, historical, parody, samurai, sci-fi, shounen"
469,3901,"action, mystery, comedy, historical, supernatural"
470,47,"action, military, sci-fi, adventure, horror, supernatural, seinen"
471,962,"fantasy, sci-fi, shounen, slice of life"
472,4477,"comedy, josei, music, romance, slice of life"
473,1827,"action, adventure, historical, fantasy"
474,6336,"action, drama, mecha, military, sci-fi, space"
475,2581,"action, military, sci-fi, space, drama, mecha"
476,16782,"slice of life, psychological, drama, romance"
477,3702,"music, comedy, seinen"
478,24833,"action, comedy, school, shounen"
479,34376,"drama, fantasy, magic, slice of life"
480,34076,"comedy, demons, drama, fantasy, slice of life"
481,11597,"mystery, comedy, supernatural, ecchi"
482,4722,"comedy, drama, romance, shoujo"
483,19123,"action, adventure, comedy, drama, fantasy, shounen, super power"
484,17603,"comedy, kids, shoujo"
485,1735,"action, adventure, comedy, super power, martial arts, shounen"
486,32902,"slice of life, magic, fantasy, shounen"
487,232,"adventure, comedy, drama, magic, romance, fantasy, school, shoujo"
488,25363,"adventure, fantasy, shoujo"
489,34537,"comedy, romance"
490,23623,"comedy, school, seinen, slice of life"
491,6864,"mystery, supernatural"
492,35158,"psychological, supernatural, seinen"
493,10153,"action, magic, comedy, sci-fi, drama"
494,28223,"game, mystery, psychological, drama, thriller"
495,37171,"comedy, school"
496,11977,"psychological, drama, magic, thriller"
497,25681,"comedy, demons, supernatural, romance, fantasy, shoujo"
498,20899,"action, adventure, supernatural, drama, shounen"
499,265,"comedy, shounen, sports"
